,index,ds,y
0,1970-01-01 00:00:00.000000000,04-01-2010,6.424604893
1,1970-01-01 00:00:00.000000001,05-01-2010,6.435714722
2,1970-01-01 00:00:00.000000002,06-01-2010,6.333343983
3,1970-01-01 00:00:00.000000003,07-01-2010,6.321635246
4,1970-01-01 00:00:00.000000004,08-01-2010,6.363663673
5,1970-01-01 00:00:00.000000005,11-01-2010,6.307527065
6,1970-01-01 00:00:00.000000006,12-01-2010,6.235777855
7,1970-01-01 00:00:00.000000007,13-01-2010,6.323736668
8,1970-01-01 00:00:00.000000008,14-01-2010,6.287112713
9,1970-01-01 00:00:00.000000009,15-01-2010,6.182043076
10,1970-01-01 00:00:00.000000010,19-01-2010,6.455523968
11,1970-01-01 00:00:00.000000011,20-01-2010,6.356158733
12,1970-01-01 00:00:00.000000012,21-01-2010,6.246284485
13,1970-01-01 00:00:00.000000013,22-01-2010,5.936476231
14,1970-01-01 00:00:00.000000014,25-01-2010,6.096184731
15,1970-01-01 00:00:00.000000015,26-01-2010,6.182343006
16,1970-01-01 00:00:00.000000016,27-01-2010,6.240582943
17,1970-01-01 00:00:00.000000017,28-01-2010,5.982709408
18,1970-01-01 00:00:00.000000018,29-01-2010,5.765663624
19,1970-01-01 00:00:00.000000019,01-02-2010,5.845816612
20,1970-01-01 00:00:00.000000020,02-02-2010,5.879740238
21,1970-01-01 00:00:00.000000021,03-02-2010,5.980906487
22,1970-01-01 00:00:00.000000022,04-02-2010,5.765365601
23,1970-01-01 00:00:00.000000023,05-02-2010,5.867733002
24,1970-01-01 00:00:00.000000024,08-02-2010,5.827503204
25,1970-01-01 00:00:00.000000025,09-02-2010,5.889647007
26,1970-01-01 00:00:00.000000026,10-02-2010,5.857523918
27,1970-01-01 00:00:00.000000027,11-02-2010,5.9640975
28,1970-01-01 00:00:00.000000028,12-02-2010,6.015429497
29,1970-01-01 00:00:00.000000029,16-02-2010,6.106092453
30,1970-01-01 00:00:00.000000030,17-02-2010,6.080576897
31,1970-01-01 00:00:00.000000031,18-02-2010,6.091982365
32,1970-01-01 00:00:00.000000032,19-02-2010,6.05415535
33,1970-01-01 00:00:00.000000033,22-02-2010,6.016632557
34,1970-01-01 00:00:00.000000034,23-02-2010,5.915765285
35,1970-01-01 00:00:00.000000035,24-02-2010,6.023836613
36,1970-01-01 00:00:00.000000036,25-02-2010,6.064065456
37,1970-01-01 00:00:00.000000037,26-02-2010,6.142716408
38,1970-01-01 00:00:00.000000038,01-03-2010,6.273905754
39,1970-01-01 00:00:00.000000039,02-03-2010,6.269702435
40,1970-01-01 00:00:00.000000040,03-03-2010,6.284109116
41,1970-01-01 00:00:00.000000041,04-03-2010,6.325537682
42,1970-01-01 00:00:00.000000042,05-03-2010,6.572905064
43,1970-01-01 00:00:00.000000043,08-03-2010,6.576806545
44,1970-01-01 00:00:00.000000044,09-03-2010,6.695086956
45,1970-01-01 00:00:00.000000045,10-03-2010,6.749722004
46,1970-01-01 00:00:00.000000046,11-03-2010,6.769536018
47,1970-01-01 00:00:00.000000047,12-03-2010,6.802559376
48,1970-01-01 00:00:00.000000048,15-03-2010,6.719702244
49,1970-01-01 00:00:00.000000049,16-03-2010,6.738013268
50,1970-01-01 00:00:00.000000050,17-03-2010,6.728108406
51,1970-01-01 00:00:00.000000051,18-03-2010,6.744019985
52,1970-01-01 00:00:00.000000052,19-03-2010,6.671971321
53,1970-01-01 00:00:00.000000053,22-03-2010,6.747020245
54,1970-01-01 00:00:00.000000054,23-03-2010,6.855392456
55,1970-01-01 00:00:00.000000055,24-03-2010,6.885714531
56,1970-01-01 00:00:00.000000056,25-03-2010,6.804058552
57,1970-01-01 00:00:00.000000057,26-03-2010,6.931647301
58,1970-01-01 00:00:00.000000058,29-03-2010,6.97637558
59,1970-01-01 00:00:00.000000059,30-03-2010,7.080245495
60,1970-01-01 00:00:00.000000060,31-03-2010,7.054726124
61,1970-01-01 00:00:00.000000061,01-04-2010,7.083845615
62,1970-01-01 00:00:00.000000062,05-04-2010,7.159497738
63,1970-01-01 00:00:00.000000063,06-04-2010,7.191019535
64,1970-01-01 00:00:00.000000064,07-04-2010,7.222839355
65,1970-01-01 00:00:00.000000065,08-04-2010,7.203327656
66,1970-01-01 00:00:00.000000066,09-04-2010,7.258563042
67,1970-01-01 00:00:00.000000067,12-04-2010,7.273574829
68,1970-01-01 00:00:00.000000068,13-04-2010,7.277773857
69,1970-01-01 00:00:00.000000069,14-04-2010,7.375642776
70,1970-01-01 00:00:00.000000070,15-04-2010,7.472607613
71,1970-01-01 00:00:00.000000071,16-04-2010,7.426977158
72,1970-01-01 00:00:00.000000072,19-04-2010,7.417071819
73,1970-01-01 00:00:00.000000073,20-04-2010,7.342619419
74,1970-01-01 00:00:00.000000074,21-04-2010,7.781816959
75,1970-01-01 00:00:00.000000075,22-04-2010,7.999461651
76,1970-01-01 00:00:00.000000076,23-04-2010,8.130347252
77,1970-01-01 00:00:00.000000077,26-04-2010,8.090419769
78,1970-01-01 00:00:00.000000078,27-04-2010,7.866470814
79,1970-01-01 00:00:00.000000079,28-04-2010,7.853262901
80,1970-01-01 00:00:00.000000080,29-04-2010,8.064600945
81,1970-01-01 00:00:00.000000081,30-04-2010,7.837949753
82,1970-01-01 00:00:00.000000082,03-05-2010,7.995857716
83,1970-01-01 00:00:00.000000083,04-05-2010,7.765602589
84,1970-01-01 00:00:00.000000084,05-05-2010,7.684851646
85,1970-01-01 00:00:00.000000085,06-05-2010,7.392455101
86,1970-01-01 00:00:00.000000086,07-05-2010,7.080543041
87,1970-01-01 00:00:00.000000087,10-05-2010,7.624809265
88,1970-01-01 00:00:00.000000088,11-05-2010,7.700761795
89,1970-01-01 00:00:00.000000089,12-05-2010,7.867971897
90,1970-01-01 00:00:00.000000090,13-05-2010,7.756000996
91,1970-01-01 00:00:00.000000091,14-05-2010,7.619707584
92,1970-01-01 00:00:00.000000092,17-05-2010,7.63171339
93,1970-01-01 00:00:00.000000093,18-05-2010,7.575875759
94,1970-01-01 00:00:00.000000094,19-05-2010,7.455196381
95,1970-01-01 00:00:00.000000095,20-05-2010,7.137583733
96,1970-01-01 00:00:00.000000096,21-05-2010,7.274475574
97,1970-01-01 00:00:00.000000097,24-05-2010,7.407764912
98,1970-01-01 00:00:00.000000098,25-05-2010,7.361533165
99,1970-01-01 00:00:00.000000099,26-05-2010,7.328211784
100,1970-01-01 00:00:00.000000100,27-05-2010,7.605597496
101,1970-01-01 00:00:00.000000101,28-05-2010,7.711565018
102,1970-01-01 00:00:00.000000102,01-06-2010,7.830146313
103,1970-01-01 00:00:00.000000103,02-06-2010,7.923812866
104,1970-01-01 00:00:00.000000104,03-06-2010,7.898892403
105,1970-01-01 00:00:00.000000105,04-06-2010,7.683951378
106,1970-01-01 00:00:00.000000106,07-06-2010,7.533248425
107,1970-01-01 00:00:00.000000107,08-06-2010,7.484920025
108,1970-01-01 00:00:00.000000108,09-06-2010,7.300893307
109,1970-01-01 00:00:00.000000109,10-06-2010,7.520340443
110,1970-01-01 00:00:00.000000110,11-06-2010,7.610404015
111,1970-01-01 00:00:00.000000111,14-06-2010,7.633515358
112,1970-01-01 00:00:00.000000112,15-06-2010,7.795922279
113,1970-01-01 00:00:00.000000113,16-06-2010,8.022879601
114,1970-01-01 00:00:00.000000114,17-06-2010,8.161567688
115,1970-01-01 00:00:00.000000115,18-06-2010,8.227614403
116,1970-01-01 00:00:00.000000116,21-06-2010,8.110534668
117,1970-01-01 00:00:00.000000117,22-06-2010,8.22100544
118,1970-01-01 00:00:00.000000118,23-06-2010,8.134549141
119,1970-01-01 00:00:00.000000119,24-06-2010,8.07541275
120,1970-01-01 00:00:00.000000120,25-06-2010,8.006363869
121,1970-01-01 00:00:00.000000121,28-06-2010,8.054395676
122,1970-01-01 00:00:00.000000122,29-06-2010,7.690252781
123,1970-01-01 00:00:00.000000123,30-06-2010,7.550961494
124,1970-01-01 00:00:00.000000124,01-07-2010,7.459401131
125,1970-01-01 00:00:00.000000125,02-07-2010,7.413167477
126,1970-01-01 00:00:00.000000126,06-07-2010,7.46390152
127,1970-01-01 00:00:00.000000127,07-07-2010,7.765306473
128,1970-01-01 00:00:00.000000128,08-07-2010,7.747893333
129,1970-01-01 00:00:00.000000129,09-07-2010,7.79382515
130,1970-01-01 00:00:00.000000130,12-07-2010,7.723875999
131,1970-01-01 00:00:00.000000131,13-07-2010,7.559067249
132,1970-01-01 00:00:00.000000132,14-07-2010,7.586984634
133,1970-01-01 00:00:00.000000133,15-07-2010,7.548556805
134,1970-01-01 00:00:00.000000134,16-07-2010,7.502025604
135,1970-01-01 00:00:00.000000135,19-07-2010,7.372339249
136,1970-01-01 00:00:00.000000136,20-07-2010,7.561766148
137,1970-01-01 00:00:00.000000137,21-07-2010,7.632314682
138,1970-01-01 00:00:00.000000138,22-07-2010,7.775811195
139,1970-01-01 00:00:00.000000139,23-07-2010,7.80342865
140,1970-01-01 00:00:00.000000140,26-07-2010,7.783616066
141,1970-01-01 00:00:00.000000141,27-07-2010,7.927713871
142,1970-01-01 00:00:00.000000142,28-07-2010,7.834049702
143,1970-01-01 00:00:00.000000143,29-07-2010,7.748496532
144,1970-01-01 00:00:00.000000144,30-07-2010,7.722673416
145,1970-01-01 00:00:00.000000145,02-08-2010,7.860766411
146,1970-01-01 00:00:00.000000146,03-08-2010,7.863170147
147,1970-01-01 00:00:00.000000147,04-08-2010,7.894690037
148,1970-01-01 00:00:00.000000148,05-08-2010,7.856265545
149,1970-01-01 00:00:00.000000149,06-08-2010,7.807934284
150,1970-01-01 00:00:00.000000150,09-08-2010,7.857763767
151,1970-01-01 00:00:00.000000151,10-08-2010,7.787516117
152,1970-01-01 00:00:00.000000152,11-08-2010,7.510734081
153,1970-01-01 00:00:00.000000153,12-08-2010,7.558766365
154,1970-01-01 00:00:00.000000154,13-08-2010,7.478012085
155,1970-01-01 00:00:00.000000155,16-08-2010,7.434180737
156,1970-01-01 00:00:00.000000156,17-08-2010,7.564169407
157,1970-01-01 00:00:00.000000157,18-08-2010,7.59718895
158,1970-01-01 00:00:00.000000158,19-08-2010,7.501428127
159,1970-01-01 00:00:00.000000159,20-08-2010,7.49422121
160,1970-01-01 00:00:00.000000160,23-08-2010,7.378944397
161,1970-01-01 00:00:00.000000161,24-08-2010,7.202726841
162,1970-01-01 00:00:00.000000162,25-08-2010,7.291585445
163,1970-01-01 00:00:00.000000163,26-08-2010,7.213232517
164,1970-01-01 00:00:00.000000164,27-08-2010,7.253461361
165,1970-01-01 00:00:00.000000165,30-08-2010,7.27987957
166,1970-01-01 00:00:00.000000166,31-08-2010,7.297890663
167,1970-01-01 00:00:00.000000167,01-09-2010,7.514935017
168,1970-01-01 00:00:00.000000168,02-09-2010,7.57017231
169,1970-01-01 00:00:00.000000169,03-09-2010,7.768305779
170,1970-01-01 00:00:00.000000170,07-09-2010,7.739485264
171,1970-01-01 00:00:00.000000171,08-09-2010,7.892886639
172,1970-01-01 00:00:00.000000172,09-09-2010,7.897390366
173,1970-01-01 00:00:00.000000173,10-09-2010,7.907599449
174,1970-01-01 00:00:00.000000174,13-09-2010,8.016573906
175,1970-01-01 00:00:00.000000175,14-09-2010,8.047190666
176,1970-01-01 00:00:00.000000176,15-09-2010,8.112035751
177,1970-01-01 00:00:00.000000177,16-09-2010,8.302659035
178,1970-01-01 00:00:00.000000178,17-09-2010,8.266636848
179,1970-01-01 00:00:00.000000179,20-09-2010,8.502597809
180,1970-01-01 00:00:00.000000180,21-09-2010,8.518809319
181,1970-01-01 00:00:00.000000181,22-09-2010,8.638288498
182,1970-01-01 00:00:00.000000182,23-09-2010,8.673410416
183,1970-01-01 00:00:00.000000183,24-09-2010,8.77548027
